Date,Open,High,Low,Close,Volume
09/11/2024,"101.51","101.85","101.46","101.62","4,184,407"
09/10/2024,"101.34","101.70","101.31","101.65","5,979,509"
09/09/2024,"101.15","101.43","101.05","101.34","7,569,256"
09/06/2024,"101.13","101.60","100.97","101.19","8,830,177"
09/05/2024,"101.02","101.12","100.75","101.06","11,921,950"
09/04/2024,"100.43","100.85","100.40","100.80","10,867,810"
09/03/2024,"100.32","100.53","100.23","100.36","6,837,240"
08/30/2024,"100.51","100.64","100.22","100.25","7,213,235"
08/29/2024,"100.45","100.55","100.35","100.49","6,912,660"
08/28/2024,"100.71","100.77","100.60","100.62","6,960,499"
08/27/2024,"100.48","100.74","100.43","100.71","7,965,500"
08/26/2024,"100.92","100.92","100.66","100.68","6,653,194"
08/23/2024,"100.52","100.81","100.43","100.77","6,179,548"
08/22/2024,"100.54","100.57","100.23","100.31","7,893,691"
08/21/2024,"100.61","100.90","100.43","100.72","6,366,682"
08/20/2024,"100.41","100.56","100.33","100.53","5,516,765"
08/19/2024,"100.07","100.34","100.04","100.23","4,690,310"
08/16/2024,"100.03","100.12","99.85","100.12","6,507,875"
08/15/2024,"99.70","99.90","99.65","99.88","8,628,478"
08/14/2024,"100.15","100.40","100.14","100.30","9,871,619"
08/13/2024,"100.04","100.12","99.93","100.12","3,925,473"
08/12/2024,"99.47","99.78","99.41","99.72","7,300,711"
08/09/2024,"99.64","99.70","99.48","99.55","3,879,241"
08/08/2024,"99.11","99.28","99.07","99.20","5,558,079"
08/07/2024,"99.51","99.61","99.24","99.35","8,085,207"
08/06/2024,"100.14","100.16","99.63","99.65","10,945,180"
08/05/2024,"100.82","100.89","100.02","100.25","12,066,080"
08/02/2024,"99.88","100.37","99.80","100.33","9,397,607"
08/01/2024,"99.01","99.32","99.01","99.22","9,642,741"
07/31/2024,"98.81","99.12","98.65","99.11","11,725,120"
07/30/2024,"98.52","98.64","98.38","98.58","5,845,841"
07/29/2024,"98.54","98.54","98.37","98.48","6,822,624"
07/26/2024,"98.29","98.36","98.18","98.32","4,243,795"
07/25/2024,"97.84","98.14","97.82","97.97","12,766,230"
07/24/2024,"97.82","98.19","97.70","97.70","6,578,527"
07/23/2024,"98.10","98.18","97.98","98.00","7,225,976"
07/22/2024,"98.12","98.20","97.86","98.01","11,657,640"
07/19/2024,"98.04","98.10","97.97","98.05","7,735,774"
07/18/2024,"98.37","98.56","98.21","98.25","10,584,200"
07/17/2024,"98.26","98.57","98.23","98.52","5,680,415"
07/16/2024,"98.18","98.45","98.14","98.45","8,936,096"
07/15/2024,"98.15","98.28","98.03","98.05","6,984,734"
07/12/2024,"98.17","98.39","98.13","98.39","6,329,054"
07/11/2024,"98.18","98.31","98.09","98.12","3,790,200"
07/10/2024,"97.61","97.67","97.49","97.62","4,586,211"
07/09/2024,"97.51","97.61","97.34","97.52","5,004,874"
07/08/2024,"97.59","97.65","97.45","97.61","4,603,072"
07/05/2024,"97.45","97.63","97.31","97.58","3,490,062"
07/03/2024,"96.80","97.17","96.77","97.09","4,061,079"
07/02/2024,"96.64","96.67","96.44","96.57","5,441,965"
07/01/2024,"96.43","96.66","96.22","96.25","12,239,100"
06/28/2024,"97.77","97.80","97.07","97.07","12,781,550"
06/27/2024,"97.56","97.67","97.54","97.55","5,276,457"
06/26/2024,"97.43","97.49","97.37","97.39","4,964,125"
06/25/2024,"97.78","97.88","97.71","97.83","5,701,669"
06/24/2024,"97.82","97.86","97.72","97.84","5,017,272"
06/21/2024,"97.89","97.98","97.65","97.76","4,715,500"
